id;company_id;is_vendor;vendor_id;code;company_name;address;phone;mobile;fax;email;website;tax_code;account_number;bank_account;bank_name;balance;total_balance;open_balance;open_balance_date;credit_limit;notes;contact_name;contact_mobile;contact_email;is_active;time_created;time_modified;user_id_created;user_id_modified
1;87733;true;25794;deposit;Designer Borders content-based;Tasty Customer Human;132-377-8888 x4786;Unbranded Cheese Dynamic;Alabama transform;"{='8>)@_B.oQQT";knowledge user;Cayman Islands Dollar invoice;Fish;Networked;Fish;36646;64963;74417;2020-01-01T17:26:01;72093;local area network Benin;turn-key dedicated;Wisconsin;"g@h/;O,T.>Lj|eB";true;2020-01-02T05:24:47;2020-01-02T01:45:06;64510;57690
2;66892;false;86416;Re-contextualized;local Shoes;Intelligent Frozen Sausages Villages;(983) 709-9345;Wisconsin Facilitator Incredib;reinvent;"F@JkBZr.sUxn/+";Maryland Configuration;Intranet Ergonomic Concrete So;Concrete Bedfordshir;portal calculating M;real-time discrete redundant;81011;25620;86707;2020-01-01T23:08:19;91324;Avon;Auto Loan Account olive;Yen;"yek/I@?S.<^";false;2020-01-01T23:56:11;2020-01-01T21:41:11;3594;32815
3;46559;false;54264;stable Utah Computer;Licensed Plastic Pants;Plastic South Georgia and the South Sandwich Islands;229.640.8015 x4566;panel;Analyst card Licensed Cotton B;"`Nik1{@f^FZS,.oe";Chips;navigating;Som Rustic Frozen Ke;Benin;Tuna Response invoice;51669;73789;65711;2020-01-02T00:30:38;43567;system Gorgeous Rubber Pants;hack;leading-edge;"T?@u'LZe.""UN";true;2020-01-01T14:18:25;2020-01-01T20:55:38;17533;47417
4;1716;false;76336;online e-business;systems integrate;Web HTTP;(306) 955-8566;Checking Account;invoice Outdoors New York;"""*(b@-[.1f}~(";Granite haptic;Web revolutionize Branding;teal analyzing yello;Books Generic;robust withdrawal generate;68161;2327;34062;2020-01-01T18:16:04;26069;Avon;Rupiah Personal Loan Account HTTP;schemas Specialist China;"'6[@+B($1.GK";true;2020-01-01T20:15:20;2020-01-02T03:54:44;12768;37201
5;25001;true;58054;JSON Texas;bandwidth;application Configurable iterate;1-548-332-8030 x099;Fantastic time-frame Quality;Borders Borders Practical;"Yr@$\8LM.}<;";ivory Data neural;Unbranded;Associate Designer;mindshare;Guam bandwidth Liaison;68803;76151;83696;2020-01-01T22:58:40;86686;bypassing;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary;")@L.dqy";true;2020-01-02T08:08:04;2020-01-01T15:04:52;90769;98600
6;59188;true;35021;bandwidth Buckingham;Oklahoma communities;array supply-chains Advanced;450-717-1867 x765;Markets;Glen Refined;",@G!,8a`.{";Designer Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;Central African Repu;magenta heuristic;Credit Card Account Maryland Legacy;4544;91525;28096;2020-01-01T14:48:22;95041;Regional;Generic B2B;olive;"#.m@`Bj(.dr";false;2020-01-02T11:56:57;2020-01-02T05:10:00;97439;25994
7;98621;false;69816;Falkland Islands (Ma;schemas;Pound Sterling Keyboard;1-089-947-5694 x09885;Chair;drive online;"cl?@Bj2X.:YxB)5";disintermediate Assistant generating;Practical Steel Shirt Plastic ;SMS;Zimbabwe parse Custo;input Accounts;84964;37785;24734;2020-01-02T08:01:44;45054;Concrete;mission-critical white SMTP;Checking Account global Steel;"4Y^,?@V.^";false;2020-01-01T17:21:46;2020-01-01T18:13:18;55190;96797
8;56093;false;87665;engage Granite Groce;bluetooth payment digital;Rubber Industrial seamless;635.409.7355 x479;middleware Switzerland;Data Granite Configuration;"M@#L[8.Ty6";Orchestrator;frictionless orchid;Future-proofed Aweso;Creek;Shirt Metal;64087;18006;18188;2020-01-01T21:05:56;34566;Human Mission;Officer Savings Account Automated;Pants even-keeled Chair;"j@tK2+.;Rd)~'";true;2020-01-02T02:45:23;2020-01-02T05:16:16;20633;89421
9;36426;false;50341;Lempira;Licensed;Credit Card Account Sleek;(193) 002-8807 x51925;Central Polarised;back-end Roads bypass;"(s""+I$@5>.[";Internal Buckinghamshire Antarctica (the territory South of 60 deg S);ADP;Hungary Configurable;interface;Toys;32207;84070;21144;2020-01-02T11:40:26;32749;Concrete National;Ranch impactful;Berkshire Awesome;"9Y,I*@:..MQOq}";true;2020-01-02T03:27:18;2020-01-02T00:16:05;12758;37877
10;28377;false;36308;payment Illinois dot;methodology Integration Music;Pants;418-102-8108;Small Andorra infomediaries;Executive Regional Wisconsin;"a;2t@|.SmiE,1";Fish Tanzanian Shilling;hard drive Mexico Gardens;override silver orch;tan program;Metal Auto Loan Account;28863;8729;58123;2020-01-02T01:40:06;15436;Haven Montenegro Fantastic Plastic Table;Bahamas;Manager open architecture;"Im1pJ@2.ncp";false;2020-01-01T23:31:11;2020-01-02T02:27:32;47157;60610
