id;company_id;code;name;status;start_date;end_date;estimate;investor;address;notes;is_active
1;99793;proactive;Fantastic Sleek Granite Tuna Utah;27168;2020-01-01;2020-01-02;76827;e-services;Russian Federation program;Practical;false
2;29700;SQL;Persevering Gorgeous Steel Salad Associate;42777;2020-01-02;2020-01-02;39163;Concrete Usability neural;Generic;Facilitator XSS;true
3;46740;Personal Loan Accoun;matrix;83782;2020-01-01;2020-01-02;60773;Avon Automated Shirt;Electronics;neural wireless Generic Frozen Bike;true
4;51826;Personal Loan Accoun;connect Zimbabwe Dollar;15389;2020-01-01;2020-01-01;46338;Savings Account;Antigua and Barbuda Personal Loan Account Utah;Trail;false
5;26560;Granite;Tasty Fresh Pizza Jewelery monitoring;93158;2020-01-02;2020-01-01;8698;ROI;Computers Saint Helena Pound;Borders;false
6;96212;Handcrafted;Tasty backing up Cambridgeshire;48058;2020-01-02;2020-01-01;90651;Louisiana payment Mayotte;optimal EXE optical;Synchronised Pizza;false
7;70836;overriding UIC-Franc;Generic El Salvador Colon US Dollar purple;88163;2020-01-01;2020-01-01;87184;Outdoors backing up;copying;reboot;false
8;112;Tennessee generate A;asymmetric;61692;2020-01-02;2020-01-01;55984;Concrete expedite;Solomon Islands;Wooden radical Beauty;false
9;96299;24/365 deposit Mobil;solid state;17375;2020-01-01;2020-01-01;6783;challenge application Handmade Rubber Shoes;Generic Steel Car SCSI;Technician Architect calculate;false
10;59439;utilize Small Fresh ;compress UAE Dirham Dam;27362;2020-01-02;2020-01-01;94430;Practical GB;neural Guinea Franc;bypassing;true
